NATCODE,NAMEUNIT,CODNUT1,CODNUT2,CODNUT3,CODMUN,CodINE,PROVINCIA,LITMUN
34104646008,Albalat de la Ribera,ES5,ES52,ES523,46008,46008,Valencia/Valéncia,Albalat de la Ribera
34104646009,Albalat dels Sorells,ES5,ES52,ES523,46009,46009,Valencia/Valéncia,Albalat dels Sorells
34104646010,Albalat dels Tarongers,ES5,ES52,ES523,46010,46010,Valencia/Valéncia,Albalat dels Tarongers
34022222007,Albalate de Cinca,ES2,ES24,ES241,22007,22007,Huesca,Albalate de Cinca
34081616005,Albalate de las Nogueras,ES4,ES42,ES423,16005,16005,Cuenca,Albalate de las Nogueras
34081919006,Albalate de Zorita,ES4,ES42,ES424,19006,19006,Guadalajara,Albalate de Zorita
34024444008,Albalate del Arzobispo,ES2,ES24,ES242,44008,44008,Teruel,Albalate del Arzobispo
34022222008,Albalatillo,ES2,ES24,ES241,22008,22008,Huesca,Albalatillo
34010404004,Albanchez,ES6,ES61,ES611,4004,4004,Almería,Albanchez
34012323001,Albanchez de Mágina,ES6,ES61,ES616,23001,23001,Jaén,Albanchez de Mágina
34091717003,Albanyà,ES5,ES51,ES512,17003,17003,Girona,Albanyà
34081919007,Albares,ES4,ES42,ES424,19007,19007,Guadalajara,Albares
34024444009,Albarracín,ES2,ES24,ES242,44009,44009,Teruel,Albarracín
34084545003,Albarreal de Tajo,ES4,ES42,ES425,45003,45003,Toledo,Albarreal de Tajo
34080202004,Albatana,ES4,ES42,ES421,2004,2004,Albacete,Albatana
34092525007,Albatàrrec,ES5,ES51,ES513,25007,25007,Lleida,Albatàrrec
34100303005,Albatera,ES5,ES52,ES521,3005,3005,Alicante,Albatera
34022222009,Albelda,ES2,ES24,ES241,22009,22009,Huesca,Albelda
34172626005,Albelda de Iregua,ES2,ES23,ES230,26005,26005,Rioja La,Albelda de Iregua
34081616006,Albendea,ES4,ES42,ES423,16006,16006,Cuenca,Albendea
34081919008,Albendiego,ES4,ES42,ES424,19008,19008,Guadalajara,Albendiego
34024444010,Albentosa,ES2,ES24,ES242,44010,44010,Teruel,Albentosa
34104646011,Alberic,ES5,ES52,ES523,46011,46011,Valencia/Valéncia,Alberic
34172626006,Alberite,ES2,ES23,ES230,26006,26006,Rioja La,Alberite
34025050010,Alberite de San Juan,ES2,ES24,ES243,50010,50010,Zaragoza,Alberite de San Juan
34022222011,Albero Alto,ES2,ES24,ES241,22011,22011,Huesca,Albero Alto
34022222012,Albero Bajo,ES2,ES24,ES241,22012,22012,Huesca,Albero Bajo
34022222013,Alberuela de Tubo,ES2,ES24,ES241,22013,22013,Huesca,Alberuela de Tubo
34092525008,Albesa,ES5,ES51,ES513,25008,25008,Lleida,Albesa
34025050011,Albeta,ES2,ES24,ES243,50011,50011,Zaragoza,Albeta
34070909009,Albillos,ES4,ES41,ES412,9009,9009,Burgos,Albillos
34094343002,Albinyana,ES5,ES51,ES514,43002,43002,Tarragona,Albinyana
34101212003,Albocàsser,ES5,ES52,ES522,12003,12003,Castellón/Castelló,Albocàsser
34010404005,Alboloduy,ES6,ES61,ES611,4005,4005,Almería,Alboloduy
34011818003,Albolote,ES6,ES61,ES614,18003,18003,Granada,Albolote
34011818004,Albondón,ES6,ES61,ES614,18004,18004,Granada,Albondón
34091717004,Albons,ES5,ES51,ES512,17004,17004,Girona,Albons
34104646012,Alborache,ES5,ES52,ES523,46012,46012,Valencia/Valéncia,Alborache
34104646013,Alboraia/Alboraya,ES5,ES52,ES523,46013,46013,Valencia/Valéncia,Alboraia/Alboraya
34080202005,Alborea,ES4,ES42,ES421,2005,2005,Albacete,Alborea
34025050012,Alborge,ES2,ES24,ES243,50012,50012,Zaragoza,Alborge
34070505005,Albornos,ES4,ES41,ES411,5005,5005,Ávila,Albornos
34010404006,Albox,ES6,ES61,ES611,4006,4006,Almería,Albox
34143030004,Albudeite,ES6,ES62,ES620,30004,30004,Murcia,Albudeite
34104646014,Albuixech,ES5,ES52,ES523,46014,46014,Valencia/Valéncia,Albuixech
34011818005,Albuñán,ES6,ES61,ES614,18005,18005,Granada,Albuñán
34011818006,Albuñol,ES6,ES61,ES614,18006,18006,Granada,Albuñol
34011818007,Albuñuelas,ES6,ES61,ES614,18007,18007,Granada,Albuñuelas
34110606006,Alburquerque,ES4,ES43,ES431,6006,6006,Badajoz,Alburquerque
34084545004,Alcabón,ES4,ES42,ES425,45004,45004,Toledo,Alcabón
34080202006,Alcadozo,ES4,ES42,ES421,2006,2006,Albacete,Alcadozo
34024444011,Alcaine,ES2,ES24,ES242,44011,44011,Teruel,Alcaine
34025050013,Alcalá de Ebro,ES2,ES24,ES243,50013,50013,Zaragoza,Alcalá de Ebro
34014141004,Alcalá de Guadaíra,ES6,ES61,ES618,41004,41004,Sevilla,Alcalá de Guadaíra
34022222014,Alcalá de Gurrea,ES2,ES24,ES241,22014,22014,Huesca,Alcalá de Gurrea
34132828005,Alcalá de Henares,ES3,ES30,ES300,28005,28005,Madrid,Alcalá de Henares
34024444012,Alcalá de la Selva,ES2,ES24,ES242,44012,44012,Teruel,Alcalá de la Selva
34081616008,Alcalá de la Vega,ES4,ES42,ES423,16008,16008,Cuenca,Alcalá de la Vega
34011111001,Alcalá de los Gazules,ES6,ES61,ES612,11001,11001,Cádiz,Alcalá de los Gazules
34025050014,Alcalá de Moncayo,ES2,ES24,ES243,50014,50014,Zaragoza,Alcalá de Moncayo
34101212004,Alcalà de Xivert,ES5,ES52,ES522,12004,12004,Castellón/Castelló,Alcalà de Xivert
34080202007,Alcalá del Júcar,ES4,ES42,ES421,2007,2007,Albacete,Alcalá del Júcar
34022222015,Alcalá del Obispo,ES2,ES24,ES241,22015,22015,Huesca,Alcalá del Obispo
34014141005,Alcalá del Río,ES6,ES61,ES618,41005,41005,Sevilla,Alcalá del Río
34011111002,Alcalá del Valle,ES6,ES61,ES612,11002,11002,Cádiz,Alcalá del Valle
34012323002,Alcalá la Real,ES6,ES61,ES616,23002,23002,Jaén,Alcalá la Real
34100303006,Alcalalí,ES5,ES52,ES521,3006,3006,Alicante,Alcalalí
34022222016,Alcampell,ES2,ES24,ES241,22016,22016,Huesca,Alcampell
34172626007,Alcanadre,ES2,ES23,ES230,26007,26007,Rioja La,Alcanadre
34094343004,Alcanar,ES5,ES51,ES514,43004,43004,Tarragona,Alcanar
34092525010,Alcanó,ES5,ES51,ES513,25010,25010,Lleida,Alcanó
34111010008,Alcántara,ES4,ES43,ES432,10008,10008,Cáceres,Alcántara
34143030005,Alcantarilla,ES6,ES62,ES620,30005,30005,Murcia,Alcantarilla
34104646016,Alcàntera de Xúquer,ES5,ES52,ES523,46016,46016,Valencia/Valéncia,Alcàntera de Xúquer
34081616009,Alcantud,ES4,ES42,ES423,16009,16009,Cuenca,Alcantud
34074949003,Alcañices,ES4,ES41,ES419,49003,49003,Zamora,Alcañices
34024444013,Alcañiz,ES2,ES24,ES242,44013,44013,Teruel,Alcañiz
34084545005,Alcañizo,ES4,ES42,ES425,45005,45005,Toledo,Alcañizo
34011414003,Alcaracejos,ES6,ES61,ES613,14003,14003,Córdoba,Alcaracejos
34080202008,Alcaraz,ES4,ES42,ES421,2008,2008,Albacete,Alcaraz
34092525011,Alcarràs,ES5,ES51,ES513,25011,25011,Lleida,Alcarràs
34104646015,Alcàsser,ES5,ES52,ES523,46015,46015,Valencia/Valéncia,Alcàsser
34012929002,Alcaucín,ES6,ES61,ES617,29002,29002,Málaga,Alcaucín
34012323003,Alcaudete,ES6,ES61,ES616,23003,23003,Jaén,Alcaudete
34084545006,Alcaudete de la Jara,ES4,ES42,ES425,45006,45006,Toledo,Alcaudete de la Jara
34081313005,Alcázar de San Juan,ES4,ES42,ES422,13005,13005,Ciudad Real,Alcázar de San Juan
34081616010,Alcázar del Rey,ES4,ES42,ES423,16010,16010,Cuenca,Alcázar del Rey
34074747005,Alcazarén,ES4,ES41,ES418,47005,47005,Valladolid,Alcazarén
34081313006,Alcoba,ES4,ES42,ES422,13006,13006,Ciudad Real,Alcoba
34132828006,Alcobendas,ES3,ES30,ES300,28006,28006,Madrid,Alcobendas
34081919009,Alcocer,ES4,ES42,ES424,19009,19009,Guadalajara,Alcocer
34070909010,Alcocero de Mola,ES4,ES41,ES412,9010,9010,Burgos,Alcocero de Mola
34081616011,Alcohujate,ES4,ES42,ES423,16011,16011,Cuenca,Alcohujate
34010404007,Alcolea,ES6,ES61,ES611,4007,4007,Almería,Alcolea
34081313007,Alcolea de Calatrava,ES4,ES42,ES422,13007,13007,Ciudad Real,Alcolea de Calatrava
34022222017,Alcolea de Cinca,ES2,ES24,ES241,22017,22017,Huesca,Alcolea de Cinca
34081919010,Alcolea de las Peñas,ES4,ES42,ES424,19010,19010,Guadalajara,Alcolea de las Peñas
34084545007,Alcolea de Tajo,ES4,ES42,ES425,45007,45007,Toledo,Alcolea de Tajo
34081919011,Alcolea del Pinar,ES4,ES42,ES424,19011,19011,Guadalajara,Alcolea del Pinar
34014141006,Alcolea del Río,ES6,ES61,ES618,41006,41006,Sevilla,Alcolea del Río
34100303008,Alcoleja,ES5,ES52,ES521,3008,3008,Alicante,Alcoleja
34092525012,Alcoletge,ES5,ES51,ES513,25012,25012,Lleida,Alcoletge
34111010009,Alcollarín,ES4,ES43,ES432,10009,10009,Cáceres,Alcollarín
34074242006,Alconaba,ES4,ES41,ES417,42006,42006,Soria,Alconaba
34073737012,Alconada,ES4,ES41,ES415,37012,37012,Salamanca,Alconada
34074040005,Alconada de Maderuelo,ES4,ES41,ES416,40005,40005,Segovia,Alconada de Maderuelo
34110606007,Alconchel,ES4,ES43,ES431,6007,6007,Badajoz,Alconchel
34025050015,Alconchel de Ariza,ES2,ES24,ES243,50015,50015,Zaragoza,Alconchel de Ariza
34081616012,Alconchel de la Estrella,ES4,ES42,ES423,16012,16012,Cuenca,Alconchel de la Estrella
34110606008,Alconera,ES4,ES43,ES431,6008,6008,Badajoz,Alconera
34010404008,Alcóntar,ES6,ES61,ES611,4008,4008,Almería,Alcóntar
34132828007,Alcorcón,ES3,ES30,ES300,28007,28007,Madrid,Alcorcón
34024444014,Alcorisa,ES2,ES24,ES242,44014,44014,Teruel,Alcorisa
34081919013,Alcoroches,ES4,ES42,ES424,19013,19013,Guadalajara,Alcoroches
34094343005,Alcover,ES5,ES51,ES514,43005,43005,Tarragona,Alcover
34100303009,Alcoy/Alcoi,ES5,ES52,ES521,3009,3009,Alicante,Alcoy/Alcoi
34022222018,Alcubierre,ES2,ES24,ES241,22018,22018,Huesca,Alcubierre
34074242007,Alcubilla de Avellaneda,ES4,ES41,ES417,42007,42007,Soria,Alcubilla de Avellaneda
34074242008,Alcubilla de las Peñas,ES4,ES41,ES417,42008,42008,Soria,Alcubilla de las Peñas
34074949004,Alcubilla de Nogales,ES4,ES41,ES419,49004,49004,Zamora,Alcubilla de Nogales
34081313008,Alcubillas,ES4,ES42,ES422,13008,13008,Ciudad Real,Alcubillas
34104646018,Alcublas,ES5,ES52,ES523,46018,46018,Valencia/Valéncia,Alcublas
34040707003,Alcúdia,ES5,ES53,ES532,7003,7003,Balears Illes,Alcúdia
34010404009,Alcudia de Monteagud,ES6,ES61,ES611,4009,4009,Almería,Alcudia de Monteagud
34101212006,Alcudia de Veo,ES5,ES52,ES522,12006,12006,Castellón/Castelló,Alcudia de Veo
34111010010,Alcuéscar,ES4,ES43,ES432,10010,10010,Cáceres,Alcuéscar
34104646021,Aldaia,ES5,ES52,ES523,46021,46021,Valencia/Valéncia,Aldaia
34074747006,Aldea de San Miguel,ES4,ES41,ES418,47006,47006,Valladolid,Aldea de San Miguel
34111010012,Aldea del Cano,ES4,ES43,ES432,10012,10012,Cáceres,Aldea del Cano
34132828008,Aldea del Fresno,ES3,ES30,ES300,28008,28008,Madrid,Aldea del Fresno
34073737015,Aldea del Obispo,ES4,ES41,ES415,37015,37015,Salamanca,Aldea del Obispo
34081313009,Aldea del Rey,ES4,ES42,ES422,13009,13009,Ciudad Real,Aldea del Rey
34084545008,Aldea en Cabo,ES4,ES42,ES425,45008,45008,Toledo,Aldea en Cabo
34074040012,Aldea Real,ES4,ES41,ES416,40012,40012,Segovia,Aldea Real
34111010011,Aldeacentenera,ES4,ES43,ES432,10011,10011,Cáceres,Aldeacentenera
34073737013,Aldeacipreste,ES4,ES41,ES415,37013,37013,Salamanca,Aldeacipreste
34073737014,Aldeadávila de la Ribera,ES4,ES41,ES415,37014,37014,Salamanca,Aldeadávila de la Ribera
34074242009,Aldealafuente,ES4,ES41,ES417,42009,42009,Soria,Aldealafuente
34074040006,Aldealcorvo,ES4,ES41,ES416,40006,40006,Segovia,Aldealcorvo
34073737016,Aldealengua,ES4,ES41,ES415,37016,37016,Salamanca,Aldealengua
34074040007,Aldealengua de Pedraza,ES4,ES41,ES416,40007,40007,Segovia,Aldealengua de Pedraza
34074040008,Aldealengua de Santa María,ES4,ES41,ES416,40008,40008,Segovia,Aldealengua de Santa María
34074242010,Aldealices,ES4,ES41,ES417,42010,42010,Soria,Aldealices
34074242011,Aldealpozo,ES4,ES41,ES417,42011,42011,Soria,Aldealpozo
34074242012,Aldealseñor,ES4,ES41,ES417,42012,42012,Soria,Aldealseñor
34074747007,Aldeamayor de San Martín,ES4,ES41,ES418,47007,47007,Valladolid,Aldeamayor de San Martín
34084545009,Aldeanueva de Barbarroya,ES4,ES42,ES425,45009,45009,Toledo,Aldeanueva de Barbarroya
34172626008,Aldeanueva de Ebro,ES2,ES23,ES230,26008,26008,Rioja La,Aldeanueva de Ebro
34073737017,Aldeanueva de Figueroa,ES4,ES41,ES415,37017,37017,Salamanca,Aldeanueva de Figueroa
34081919015,Aldeanueva de Guadalajara,ES4,ES42,ES424,19015,19015,Guadalajara,Aldeanueva de Guadalajara
34074040009,Aldeanueva de la Serrezuela,ES4,ES41,ES416,40009,40009,Segovia,Aldeanueva de la Serrezuela
34073737018,Aldeanueva de la Sierra,ES4,ES41,ES415,37018,37018,Salamanca,Aldeanueva de la Sierra
